hours,projects,experience,performance
8,5,2,High
6,3,1,Medium
9,6,3,High
5,2,1,Low
7,4,2,Medium
10,7,4,High
4,1,0,Low
6,2,1,Medium
8,6,3,High
5,3,1,Medium
3,1,0,Low
9,5,3,High
7,3,2,Medium
6,4,2,Medium
10,8,5,High
2,1,0,Low
4,2,1,Low
8,5,2,High
7,4,3,Medium
6,3,2,Medium
9,7,4,High
5,2,1,Low
3,1,0,Low
8,6,3,High
7,5,2,Medium
6,2,1,Medium
4,1,0,Low
9,6,4,High
10,9,5,High
5,3,1,Medium
6,4,2,Medium
7,5,3,High
3,2,1,Low
8,6,3,High
9,7,4,High
4,2,1,Low
6,3,2,Medium
7,4,3,Medium
10,8,5,High
2,1,0,Low
